nazwa,kategoria nadrzedna,aktywny,opis
"owoce, nasiona, ziarna",Zdrowa żywność,1,"Naturalne źródło kwasów tłuszczowych, jakie stanowią nasiona szałwii hiszpańskiej, zwane także nasionami chia, to doskonałe urozmaicenie codziennej diety. Zawarty w nich kwas alfa-linolenowy Nasiona chia to także cenne źródło białka i wysoce przyswajalnego błonnika, co czyni z nich doskonałe uzupełnienie tradycyjnych posiłków. Pomagają oczyszczać organizm z toksyn Wartościowych elementów i właściwości nasion chia można wymienić znacznie więcej – zawierają także silne antyoksydanty, takie jak kwas kawowy czy kwas galusowy. Są bogate w wiele witamin, wapń, żelazo, magnez i potas."
oleje,Zdrowa żywność,1,"Naturalne oleje roślinne tłoczone na zimno mają korzystny wpływ na prawidłową pracę mózgu, narządu wzroku czy mięśnia sercowego. Dostępne w tej kategorii produkty znakomicie sprawdzą się jako dodatek do sałatek, surówek, sosów, past oraz zup. Wszystkie oleje cechują się unikalnymi wartościami odżywczymi. Mogą być wykorzystywane również do zabiegów pielęgnacyjnych."
kaszki,Zdrowa żywność,1,"O tym, że spożywanie błonnika ma niezwykle korzystny wpływ na ludzki organizm wiadomo od dawna. By uzupełnić dietę w ten niezwykle istotny kompleks substancji pochodzenia roślinnego, warto sięgnąć po odżywcze kaszki. Dostępne w tej kategorii produkty w formie kaszek mogą stanowić znakomity dodatek do zup, kleików, jogurtów, a także płatków śniadaniowych."
irygatory,Higiena jamy ustnej,1,"W dzisiejszych czasach zęby są wizytówką człowieka i nie można sobie pozwolić na zaniedbania w higienie jamy ustnej. Dbanie o zęby i dziąsła, a także o świeży oddech, jest dla wielu ludzi bardzo ważnym punktem codziennej higieny. Pomocne są wtedy szczoteczki zwykłe czy też elektryczne, płyny do płukania ust, nici dentystyczne, odświeżacze oddechu, wykałaczki i wiele innych przyborów pielęgnacyjnych. Wśród nich są także irygatory, jeszcze nie tak bardzo rozpowszechnione w Polsce, ale zyskują już coraz większą ilość swoich zwolenników."
bakalie,Zdrowa żywność,1,"Dostępne w tej kategorii bakalie oraz mieszanki bakaliowe to starannie dobrane kompozycje orzechów oraz suszonych owoców, które idealnie sprawdzą się jako przekąska w ciągu dnia bądź jako zdrowy dodatek do deserów czy ciast. Oferujemy szeroki wybór mieszanek wieloskładnikowych oraz bakalie jednoskładnikowe: orzechy, migdały, pestki dyni, suszone śliwki i wiele innych."
dieta bezglutenowa,Zdrowa żywność,1,"Produkty bezglutenowe są przeznaczone przede wszystkim dla pacjentów z celiakią. Dostępne w tej kategorii batoniki, biszkopty, krakersy, wafle, chlebki, makarony oraz mąki zostały wyprodukowane bez dodatku mleka, jaj, orzeszków ziemnych, nasion sezamu, łubinu oraz siarki."
sproszkowana żywność,Zdrowa żywność,1,
akcesoria,Higiena jamy ustnej,1,
proszki do zębów,Higiena jamy ustnej,1,
szczoteczki elektryczne i soniczne,Higiena jamy ustnej,1,
problemy stomatologiczne,Higiena jamy ustnej,1,
higiena i pielęgnacja protez,Higiena jamy ustnej,1,"Oferujemy wszystko to, co jest niezbędne do czyszczenia i mocowania protez. Dostępne środki dzięki odpowiedniemu składowi zapewniają nie tylko maksymalną świeżość oraz czystość, ale także działanie antybakteryjne. Kremy i kleje mocujące zapewniają mocne utrzymanie protezy i nie zawierają w składzie sztucznych związków, które mogłyby zmieniać smak pożywienia."
BIO produkty,Zdrowa żywność,1,"Produkty ekologiczne mogą stanowić znakomitą alternatywę dla żywności modyfikowanej, wytwarzanej z dodatkiem konserwantów, barwników i wielu sztucznych polepszaczy. Dostępne kasze, ryże, makarony, oleje, buliony i wiele innych artykułów spożywczych nie zawierają w składzie szkodliwych dla zdrowia substancji. Wszystkie proponowane wyroby posiadają certyfikaty ekologiczne."
higiena aparatów ortodontycznych,Higiena jamy ustnej,1,
płyny do płukania ust,Higiena jamy ustnej,1,"Płyny do płukania ust dostępne w tej kategorii to preparaty przeznaczone do codziennej higieny jamy ustnej. Oferowane produkty pozwalają skutecznie czyścić płytkę nazębną z bakterii, naprawiać strukturę zębów, a także chronić uzębienie przed szkodliwym wpływem kwasów organicznych. Dzięki zawartości minerałów i wyciągów z roślin, działają antyseptycznie, zapobiegając rozwojowi próchnicy."
dieta bezlaktozowa,Zdrowa żywność,1,"Dieta bezlaktozowa wiąże się z wykluczeniem lub ograniczeniem wyrobów mlecznych. Produkty żywnościowe znajdujące się w tej kategorii zostały stworzone z myślą o osobach cierpiących z powodu nietolerancji laktozy. Wyprodukowano je między innymi na bazie mieszanek sojowych, które są w pełni bezpieczne dla układu trawiennego osób dorosłych oraz dzieci przebywających na diecie bezlaktozowej."
higiena uszu,Artykuły higieniczne,1,"Prawidłowa i systematyczna higiena uszu jest niezwykle istotna, chociażby z tego względu, że pozwala zapobiegać problemom ze słuchem. Oferujemy szeroki wybór preparatów przeznaczonych do oczyszczania uszu, które zostały stworzone z myślą o dzieciach i osobach dorosłych. Wszystkie dostępne artykuły gwarantują skuteczne i bezpieczne oczyszczanie przewodów słuchowych."
higiena intymna,Artykuły higieniczne,1,"Higiena intymna to jedna z ważniejszych codziennych czynności, która pozwala nam poczuć się komfortowo oraz świeżo. Dostępne w tej kategorii wkładki, tampony, chusteczki oraz płyny do higieny intymnej w naturalny sposób przywracają równowagę flory bakteryjnej, eliminują podrażnienia, a także stanowią skuteczną ochronę przeciwgrzybiczą i przeciwbakteryjną."
preparaty do wybielania zębów,Higiena jamy ustnej,1,"Innowacyjne systemy wybielające przeznaczone do stosowania w domowych warunkach, pozwalają skutecznie usunąć przebarwienia powstałe na zębach, przywracając im naturalną biel. Dostępne pasty, żele oraz zestawy wybielające zostały stworzone w oparciu o nowatorskie metody wybielania, które są całkowicie bezpieczne dla szkliwa, wybielając nawet trudno dostępne miejsca między zębami."
pasty do zębów,Higiena jamy ustnej,1,"Wybór odpowiedniej pasty to klucz do zdrowych zębów oraz mocnego szkliwa. Dostępne w naszej aptece pasty do zębów to wysokiej jakości produkty chroniące przed próchnicą, zapobiegające utracie minerałów, a także usuwające nieestetyczne przebarwienia. Proponujemy również preparaty mające na celu likwidację kamienia nazębnego, zmniejszające nadwrażliwość zębów oraz przeciwdziałające krwawieniu dziąseł."
szczoteczki manualne,Higiena jamy ustnej,1,"Pielęgnacja jamy ustnej nie powinna ograniczać się do porannego i wieczornego szczotkowania zębów. By ochronić zęby przed kwasami, a także zmniejszyć ryzyko wystąpienia próchnicy i chorób dziąseł, warto sięgnąć po odpowiednie akcesoria. Poza szczoteczkami do zębów, w tej kategorii oferujemy szeroki wybór nici dentystycznych oraz czyścików międzyzębowych."
nawilżacze i oczyszczacze powietrza,Sprzęt medyczny,1,
pomiar wagi,Sprzęt medyczny,1,
alkomaty,Sprzęt medyczny,1,
nieświeży oddech,Higiena jamy ustnej,1,"Nieświeży oddech to jedna z tych przypadłości, które potrafią skutecznie uprzykrzyć życie. Wszystkim osobom borykającym się z przykrym zapachem z ust, proponujemy szeroką gamę tabletek, żeli, odświeżaczy oraz gum do żucia. Produkty te zostały opracowane w ten sposób, by zapewniać długotrwały efekt świeżości, przeciwdziałając jednocześnie rozwojowi drobnoustrojów."
artykuły kosmetyczno-higieniczne,Artykuły higieniczne,1,"Artykuły dostępne w tej kategorii są przeznaczone do celów higieniczno-kosmetycznych. Chusteczki higieniczne, płatki i waciki, patyczki do czyszczenia uszu oraz podkładki toaletowe doskonale sprawdzają się do pielęgnacji oraz zachowania higieny zarówno u osób dorosłych, jak i dzieci. Wszystkie wyroby cechują się najwyższą jakością wykonania i posiadają niezbędne atesty."
irygatory do nosa,Sprzęt medyczny,1,
inne,Sprzęt medyczny,1,
baterie,Sprzęt medyczny,1,
inhalatory,Sprzęt medyczny,1,
akcesoria medyczne,Sprzęt medyczny,1,"Znajdujące się w ofercie naszej apteki akcesoria medyczne są wykonywane z najwyższej jakości tworzyw. Dostępne artykuły znajdują zastosowanie zarówno w placówkach medycznych, jak i w ośrodkach zajmujących się prowadzeniem kursów pierwszej pomocy przedlekarskiej. Oferujemy szeroki wybór dozowników do leków, zakraplaczy do oczu, apteczek 
i wielu innych akcesoriów. "
zasilacze,Sprzęt medyczny,1,
ciśnieniomierze,Sprzęt medyczny,1,"Dostępne w naszej aptece ciśnieniomierze naramienne oraz nadgarstkowe umożliwiają samodzielny pomiar ciśnienia krwi. Każde urządzenie spełnia rygorystyczne normy i może być stosowane zarówno w warunkach domowych, jak i ambulatoryjnych. Oferowane ciśnieniomierze cechują się prostą obsługą oraz wysoką wiarygodnością wyników."
termometry,Sprzęt medyczny,1,"Termometry stanowią sprzęt niezastąpiony w każdej domowej apteczce. Przy ich pomocy można szybko i precyzyjnie zmierzyć temperaturę ciała, otoczenia lub płynów. Oferujemy szeroki wybór niezawodnych termometrów, które są bezpieczne i łatwe w obsłudze. W asortymencie posiadamy termometry elektroniczne, bezrtęciowe oraz bezdotykowe do skroni i ucha."
prostata,Dla niego,1,"Masz problemy z prostatą? Dostępne w naszej aptece leki i suplementy diety pomogą zwalczyć Ci uciążliwe objawy związane z przerostem gruczołu krokowego. Proponujemy szeroki wybór preparatów zawierających starannie dobrane kompozycje ziół, witamin oraz mikroelementów o korzystnym działaniu na gruczoł prostaty i pęcherz, a także przeciwdziałających zaburzeniom funkcji seksualnych."
irygatory ginekologiczne,Sprzęt medyczny,1,
glukometry,Sprzęt medyczny,1,"Glukometry to urządzenia, które są dedykowane diabetykom w celu systematycznego mierzenia poziomu cukru we krwi. Są one proste w obsłudze, a uzyskiwane wyniki mogą pomóc lekarzowi w podjęciu odpowiednich decyzji dotyczących leczenia cukrzycy. Dostępne w naszej aptece glukometry różnią się od siebie rodzajem oraz liczbą funkcji, które mają do zaoferowania."
potencja,Dla niego,1,"Mężczyznom zmagającym się z impotencją i zaburzeniami erekcji proponujemy szeroki wybór preparatów na potencję, które wspomagają aktywność seksualną i pozwalają na nowo czerpać radość z intymnych zbliżeń. Oferujemy zarówno leki zawierające hormony steroidowe, jak i środki witaminowo-ziołowe. Preparaty te poprawiają potencję i zwiększają wrażliwość seksualną."
irygatory do zębów,Sprzęt medyczny,1,
stetoskopy,Sprzęt medyczny,1,"Badanie pacjenta przeprowadzane przy pomocy stetoskopu jest jedną z najczęstszych czynności lekarskich. Stetoskop służy głównie do osłuchiwania płuc oraz serca. W ofercie posiadamy wyłącznie stetoskopy pochodzące od sprawdzonych firm, które zostały wyprodukowane z zastosowaniem innowacyjnych technologii. Oferujemy stetoskopy kardiologiczne, internistyczne oraz pediatryczne."
aparaty do masażu stóp,Sprzęt medyczny,1,
pielęgnacja twarzy,Dla niego,1,"Mężczyznom, którzy jak najdłużej chcą zachować młody i atrakcyjny wygląd, proponujemy bogatą gamę preparatów pielęgnacyjnych do twarzy. Dostępne kremy, żele, koncentraty pod oczy oraz  balsamy nie tylko doskonale nawilżają i regenerują cerę, ale także zapewniają efektywną pielęgnację przeciwstarzeniową, przeciwdziałając wolnym rodnikom i eliminując oznaki zmęczenia."
akcesoria do ciśnieniomierzy,Sprzęt medyczny,1,"Mankiety i zasilacze sieciowe to przykładowe akcesoria do ciśnieniomierzy, które można znaleźć w tej kategorii. Wszystkie oferowane produkty cechują się wysoką funkcjonalnością, gwarantując niezawodną i bezpieczną pracę urządzeń przeznaczonych do pomiaru ciśnienia tętniczego krwi. Dostawcami akcesoriów są renomowani producenci, tacy jak OMRON, HI-TECH MEDICAL oraz NOVAMED."
pielęgnacja włosów,Dla niego,1,"Wypielęgnowane włosy to podstawowy element wizerunku każdego zadbanego mężczyzny. By fryzura była piękna i zdrowa, warto sięgnąć po właściwy szampon oraz odżywkę kondycjonującą. Obok preparatów przeciwłupieżowych, proponujemy szeroki wybór szamponów nawilżających i przeciwdziałających siwieniu włosów. W asortymencie można znaleźć również produkty dla mężczyzn z dolegliwościami alergicznymi."
pielęgnacja ciała,Dla niego,1,"Oferujemy szeroką gamę kosmetyków dla mężczyzn do pielęgnacji ciała oraz dbania o higienę intymną. W asortymencie apteki znajdują się między innymi szampony, balsamy do ciała oraz żele pod prysznic 3w1. Niektóre preparaty posiadają hipoalergiczną formułę i mogą być stosowane do pielęgnacji skóry wrażliwej, ze skłonnością do podrażnień, alergii oraz atopii."
